date,unique_id,temperature,replicate,cell_density,cell_volume,time_since_innoc_hours,days
2016-11-28 12:51,32_2,32,2,2700,1613.57,751.0944444,31.29560185
2016-11-28 12:53,32_3,32,3,5178,1619.52,751.135,31.29729167
2016-11-28 12:55,32_4,32,4,3540,2232.35,751.1594444,31.29831019
2016-11-28 12:57,32_5,32,5,3275,1679.4,751.1894444,31.29956019
2016-11-28 12:57,32_5,32,5,3098,1751.11,751.1894444,31.29956019
2016-11-03 16:35,5_1,5,1,110,1107.27,154.8305556,6.451273148
2016-11-03 16:54,5_2,5,2,629,1027.12,155.1416667,6.464236111
2016-11-03 16:50,5_3,5,3,488,1148.09,155.0783333,6.461597222
2016-11-03 16:45,5_4,5,4,4138,1114.66,154.9913889,6.457974537
2016-11-04 13:42,8_1,8,1,4379,1017.91,175.9497222,7.331238426
2016-11-04 13:45,8_2,8,2,5218,1047.52,175.9877778,7.332824074
2016-11-04 13:47,8_3,8,3,3249,1044.98,176.025,7.334375
2016-11-04 13:49,8_4,8,4,1598,1068.66,176.0577778,7.335740741
2016-11-04 13:51,8_5,8,5,3396,1044.62,176.0883333,7.337013889
2016-11-04 14:03,16_1,16,1,1.10E+04,811.43,176.3019444,7.345914352
2016-11-04 14:05,16_2,16,2,5735,825.28,176.3338889,7.34724537
2016-11-04 14:07,16_3,16,3,9700,861.94,176.3591667,7.348298611
2016-11-04 14:08,16_4,16,4,9307,830.3,176.3844444,7.349351852
2016-11-04 14:10,16_5,16,5,9935,810.38,176.4119444,7.350497685
2016-11-04 15:01,25_1,25,1,8585,762.73,177.2688889,7.386203704
2016-11-04 15:05,25_2,25,2,6109,622.56,177.3225,7.3884375
2016-11-04 15:07,25_3,25,3,7549,714.48,177.3636111,7.390150463
2016-11-04 15:09,25_4,25,4,7580,723.88,177.4011111,7.391712963
2016-11-04 15:12,25_5,25,5,10210,736.86,177.4433333,7.393472222
2016-11-04 15:16,32_1,32,1,1091,1850.1,177.5111111,7.396296296
2016-11-04 15:18,32_2,32,2,0,0,177.5486111,7.397858796
2016-11-04 15:21,32_3,32,3,219,2875.45,177.5994444,7.399976852
2016-11-04 15:24,32_4,32,4,0,0,177.6394444,7.401643519
2016-11-04 15:26,32_5,32,5,393,267.66,177.6777778,7.403240741
2016-11-07 12:19,5_1,5,1,1256,1320.65,246.5602778,10.27334491
2016-11-07 12:22,5_2,5,2,629,1379.57,246.615,10.275625
2016-11-07 12:25,5_3,5,3,1006,1872.91,246.6566667,10.27736111
2016-11-07 12:28,5_4,5,4,1601,3260.26,246.7063889,10.27943287
2016-11-07 12:29,5_5,5,5,4438,1796.35,246.7363889,10.28068287
2016-11-07 13:15,8_1,8,1,6290,1082.58,247.4913889,10.3121412
2016-11-07 13:13,8_2,8,2,8722,959.77,247.4588889,10.31078704
2016-11-07 13:10,8_3,8,3,6164,1041.05,247.4180556,10.30908565
2016-11-07 13:08,8_4,8,4,6225,1036.46,247.3719444,10.30716435
2016-11-07 13:04,8_5,8,5,10520,1029.06,247.3116667,10.30465278
2016-11-07 13:20,16_1,16,1,18367,818.21,247.5827778,10.31594907
2016-11-07 13:22,16_2,16,2,16857,802.19,247.6116667,10.31715278
2016-11-07 13:24,16_3,16,3,16169,814.08,247.6394444,10.31831019
2016-11-07 13:29,16_4,16,4,18367,803.11,247.7366667,10.32236111
2016-11-07 13:27,16_5,16,5,18241,805.65,247.6944444,10.32060185
